Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]"
"Population, total","SP.POP.TOTL","Afghanistan","AFG","8996351","11126123","13248370","12249114","20093756"
"Population, total","SP.POP.TOTL","Albania","ALB","1608800","2135479","2671997","3286542","3089027"
"Population, total","SP.POP.TOTL","Algeria","DZA","11124888","14550034","19337715","25912367","31183660"
"Population, total","SP.POP.TOTL","American Samoa","ASM","20013","27292","32457","47038","57521"
"Population, total","SP.POP.TOTL","Andorra","AND","13411","24276","36067","54509","65390"
"Population, total","SP.POP.TOTL","Angola","AGO","5643182","6776381","8929900","12171441","16440924"
"Population, total","SP.POP.TOTL","Antigua and Barbuda","ATG","55339","67098","73442","66696","83584"
"Population, total","SP.POP.TOTL","Argentina","ARG","20619075","23973058","28105888","32729739","37057452"
"Population, total","SP.POP.TOTL","Armenia","ARM","1874120","2525065","3099751","3538165","3069588"
"Population, total","SP.POP.TOTL","Aruba","ABW","54211","59063","60096","62149","90853"
"Population, total","SP.POP.TOTL","Australia","AUS","10276477","12507000","14692000","17065100","19153000"
"Population, total","SP.POP.TOTL","Austria","AUT","7047539","7467086","7549433","7677850","8011566"
"Population, total","SP.POP.TOTL","Azerbaijan","AZE","3895396","5180025","6150738","7159000","8048600"
"Population, total","SP.POP.TOTL","Bahamas, The","BHS","109528","169354","210661","256336","297890"
"Population, total","SP.POP.TOTL","Bahrain","BHR","162427","212605","359888","495931","664614"
"Population, total","SP.POP.TOTL","Bangladesh","BGD","48199747","65047770","81470860","106188642","131581243"
"Population, total","SP.POP.TOTL","Barbados","BRB","230939","238848","252194","260374","269847"
"Population, total","SP.POP.TOTL","Belarus","BLR","8198000","9040000","9643000","10189000","9979610"
"Population, total","SP.POP.TOTL","Belgium","BEL","9153489","9655549","9859242","9967379","10251250"
"Population, total","SP.POP.TOTL","Belize","BLZ","92064","122182","144155","187552","247315"
"Population, total","SP.POP.TOTL","Benin","BEN","2431622","2912340","3717165","4978496","6865951"
"Population, total","SP.POP.TOTL","Bermuda","BMU","44400","55000","54670","59326","61833"
"Population, total","SP.POP.TOTL","Bhutan","BTN","223288","298301","409172","537280","573416"
"Population, total","SP.POP.TOTL","Bolivia","BOL","3693449","4505778","5589575","6856244","8339512"
"Population, total","SP.POP.TOTL","Bosnia and Herzegovina","BIH","3225668","3760527","4179855","4463422","3766706"
"Population, total","SP.POP.TOTL","Botswana","BWA","524552","695597","1001158","1377912","1728340"
"Population, total","SP.POP.TOTL","Brazil","BRA","72207554","95326793","121159761","149352145","175287587"
"Population, total","SP.POP.TOTL","British Virgin Islands","VGB","8033","9803","11002","16461","20645"
"Population, total","SP.POP.TOTL","Brunei Darussalam","BRN","81745","129583","193949","258785","333241"
"Population, total","SP.POP.TOTL","Bulgaria","BGR","7867374","8489574","8861535","8718289","8170172"
"Population, total","SP.POP.TOTL","Burkina Faso","BFA","4829288","5624600","6822843","8811034","11607942"
"Population, total","SP.POP.TOTL","Burundi","BDI","2786106","3455606","4116817","5415415","6400706"
"Population, total","SP.POP.TOTL","Cabo Verde","CPV","202310","270198","286657","341883","435079"
"Population, total","SP.POP.TOTL","Cambodia","KHM","5722370","6994848","6692107","8973342","12152354"
"Population, total","SP.POP.TOTL","Cameroon","CMR","5176268","6527635","8618354","11715218","15274234"
"Population, total","SP.POP.TOTL","Canada","CAN","17909009","21324000","24593000","27791000","30769700"
"Population, total","SP.POP.TOTL","Cayman Islands","CYM","7865","9144","16162","25010","41687"
"Population, total","SP.POP.TOTL","Central African Republic","CAF","1503508","1828709","2279821","2939780","3754986"
"Population, total","SP.POP.TOTL","Chad","TCD","3001593","3643549","4512042","5956859","8342559"
"Population, total","SP.POP.TOTL","Channel Islands","CHI","109420","121197","128212","140671","148725"
"Population, total","SP.POP.TOTL","Chile","CHL","7716625","9563865","11266226","13242132","15262754"
"Population, total","SP.POP.TOTL","China","CHN","667070000","818315000","981235000","1135185000","1262645000"
"Population, total","SP.POP.TOTL","Colombia","COL","16480383","22061215","27737900","34271565","40403958"
"Population, total","SP.POP.TOTL","Comoros","COM","191121","230054","307829","411594","542357"
"Population, total","SP.POP.TOTL","Congo, Dem. Rep.","COD","15248251","20009935","26357462","34614581","47076387"
"Population, total","SP.POP.TOTL","Congo, Rep.","COG","1037220","1364812","1839935","2440457","3225727"
"Population, total","SP.POP.TOTL","Costa Rica","CRI","1333040","1848866","2389310","3095995","3925443"
"Population, total","SP.POP.TOTL","Cote d'Ivoire","CIV","3558988","5242395","8293675","12267754","16686561"
"Population, total","SP.POP.TOTL","Croatia","HRV","4140000","4411000","4588000","4780000","4426000"
"Population, total","SP.POP.TOTL","Cuba","CUB","7141135","8715123","9835177","10582081","11150736"
"Population, total","SP.POP.TOTL","Curacao","CUW","124826","144739","148041","145400","133860"
"Population, total","SP.POP.TOTL","Cyprus","CYP","572930","613621","685406","766614","943286"
"Population, total","SP.POP.TOTL","Czech Republic","CZE","9602006","9858071","10304193","10333355","10255063"
"Population, total","SP.POP.TOTL","Denmark","DNK","4579603","4928757","5123027","5140939","5339616"
"Population, total","SP.POP.TOTL","Djibouti","DJI","83636","159659","358960","590398","717584"
"Population, total","SP.POP.TOTL","Dominica","DMA","60011","71073","75314","70926","69676"
"Population, total","SP.POP.TOTL","Dominican Republic","DOM","3294042","4503114","5809269","7183647","8562622"
"Population, total","SP.POP.TOTL","Ecuador","ECU","4545550","6072527","7976445","10218091","12628596"
"Population, total","SP.POP.TOTL","Egypt, Arab Rep.","EGY","26996533","35046273","44099142","57412215","69905988"
"Population, total","SP.POP.TOTL","El Salvador","SLV","2762899","3668595","4580704","5254984","5867626"
"Population, total","SP.POP.TOTL","Equatorial Guinea","GNQ","255323","306515","255325","426846","614323"
"Population, total","SP.POP.TOTL","Eritrea","ERI","1397491","1811878","2385540","3113311","3392801"
"Population, total","SP.POP.TOTL","Estonia","EST","1211537","1360076","1477219","1569174","1396985"
"Population, total","SP.POP.TOTL","Eswatini","SWZ","349174","445729","603372","861373","1061468"
"Population, total","SP.POP.TOTL","Ethiopia","ETH","22151278","28415077","35264898","48086516","66537331"
"Population, total","SP.POP.TOTL","Faroe Islands","FRO","34661","39083","43514","47594","47258"
"Population, total","SP.POP.TOTL","Fiji","FJI","393386","520529","635255","728628","811223"
"Population, total","SP.POP.TOTL","Finland","FIN","4429634","4606307","4779535","4986431","5176209"
"Population, total","SP.POP.TOTL","France","FRA","46814237","52035095","55340782","58512808","60912500"
"Population, total","SP.POP.TOTL","French Polynesia","PYF","78076","110495","151708","198375","237258"
"Population, total","SP.POP.TOTL","Gabon","GAB","499184","590118","729159","952212","1231122"
"Population, total","SP.POP.TOTL","Gambia, The","GMB","367928","447285","604369","916808","1231844"
"Population, total","SP.POP.TOTL","Georgia","GEO","3645600","4119900","4467700","4802000","4418300"
"Population, total","SP.POP.TOTL","Germany","DEU","72814900","78169289","78288576","79433029","82211508"
"Population, total","SP.POP.TOTL","Ghana","GHA","6652287","8596983","10802028","14628260","18938762"
"Population, total","SP.POP.TOTL","Gibraltar","GIB","23394","28560","30272","29164","31180"
"Population, total","SP.POP.TOTL","Greece","GRC","8331725","8792806","9642505","10196792","10805808"
"Population, total","SP.POP.TOTL","Greenland","GRL","32500","46400","50200","55600","56200"
"Population, total","SP.POP.TOTL","Grenada","GRD","89869","94426","89005","96283","101619"
"Population, total","SP.POP.TOTL","Guam","GUM","66742","83877","104133","130482","155329"
"Population, total","SP.POP.TOTL","Guatemala","GTM","4210747","5621792","7283459","9263813","11650743"
"Population, total","SP.POP.TOTL","Guinea","GIN","3577409","4219770","4511902","6041094","8808546"
"Population, total","SP.POP.TOTL","Guinea-Bissau","GNB","616409","711827","800854","1012280","1243229"
"Population, total","SP.POP.TOTL","Guyana","GUY","571819","704934","780153","743309","753301"
"Population, total","SP.POP.TOTL","Haiti","HTI","3866159","4708642","5688836","7099732","8549200"
"Population, total","SP.POP.TOTL","Honduras","HND","2038637","2716659","3678286","4955328","6524283"
"Population, total","SP.POP.TOTL","Hong Kong SAR, China","HKG","3075605","3959000","5063100","5704500","6665000"
