Type,"Country Code","Series Code","Description"
Country-Series,"Aruba (ABW)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Afghanistan (AFG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Angola (AGO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Albania (ALB)","Population, total (SP.POP.TOTL)","Data sources : Institute of Statistics, Eurostat"
Country-Series,"Andorra (AND)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"United Arab Emirates (ARE)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Argentina (ARG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Armenia (ARM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"American Samoa (ASM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Antigua and Barbuda (ATG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Australia (AUS)","Population, total (SP.POP.TOTL)","Data sources : Australian Bureau of Statistics"
Country-Series,"Austria (AUT)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Azerbaijan (AZE)","Population, total (SP.POP.TOTL)","Data sources : Eurostat, State Statistical Committee, United Nations World Population Prospects"
Country-Series,"Burundi (BDI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Belgium (BEL)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Benin (BEN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Burkina Faso (BFA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bangladesh (BGD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bulgaria (BGR)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Bahrain (BHR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bahamas, The (BHS)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bosnia and Herzegovina (BIH)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Belarus (BLR)","Population, total (SP.POP.TOTL)","Data sources : National Statistical Committee of the Republic of Belarus"
Country-Series,"Belize (BLZ)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bermuda (BMU)","Population, total (SP.POP.TOTL)","Data sources : Bermuda Government Department of Statistics"
Country-Series,"Bolivia (BOL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Brazil (BRA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Barbados (BRB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Brunei Darussalam (BRN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bhutan (BTN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Botswana (BWA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Central African Republic (CAF)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Canada (CAN)","Population, total (SP.POP.TOTL)","Data sources : Statistics Canada"
Country-Series,"Switzerland (CHE)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Channel Islands (CHI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Chile (CHL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"China (CHN)","Population, total (SP.POP.TOTL)","Data sources : National Bureau of Statistics"
Country-Series,"Côte d'Ivoire (CIV)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Cameroon (CMR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Congo, Dem. Rep. (COD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Congo, Rep. (COG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Colombia (COL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Comoros (COM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Cabo Verde (CPV)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Costa Rica (CRI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Cuba (CUB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Curaçao (CUW)","Population, total (SP.POP.TOTL)","Data sources : Central bureau of Statistics"
Country-Series,"Cayman Islands (CYM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Cyprus (CYP)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Czech Republic (CZE)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Germany (DEU)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Djibouti (DJI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Dominica (DMA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Denmark (DNK)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Dominican Republic (DOM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Algeria (DZA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Ecuador (ECU)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Egypt, Arab Rep. (EGY)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Eritrea (ERI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Spain (ESP)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Estonia (EST)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Ethiopia (ETH)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Finland (FIN)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Fiji (FJI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
