"Country_Code","Income_Name","Region_Name","Income_Code","Region_Code"
"AFG","Low income","South Asia","L","SA"
"ALB","Upper middle income","Europe & Central Asia","UM","ECA"
"DZA","Upper middle income","Middle East & North Africa","UM","MENA"
"ASM","Upper middle income","East Asia & Pacific","UM","EAP"
"AND","High income","Europe & Central Asia","H","ECA"
"AGO","Lower middle income","Sub-Saharan Africa","LM","SAA"
"ATG","High income","Latin America & Caribbean","H","LAC"
"ARG","High income","Latin America & Caribbean","H","LAC"
"ARM","Upper middle income","Europe & Central Asia","UM","ECA"
"ABW","High income","Latin America & Caribbean","H","LAC"
"AUS","High income","East Asia & Pacific","H","EAP"
"AUT","High income","Europe & Central Asia","H","ECA"
"AZE","Upper middle income","Europe & Central Asia","UM","ECA"
"BHS","High income","Latin America & Caribbean","H","LAC"
"BHR","High income","Middle East & North Africa","H","MENA"
"BGD","Lower middle income","South Asia","LM","SA"
"BRB","High income","Latin America & Caribbean","H","LAC"
"BLR","Upper middle income","Europe & Central Asia","UM","ECA"
"BEL","High income","Europe & Central Asia","H","ECA"
"BLZ","Upper middle income","Latin America & Caribbean","UM","LAC"
"BEN","Low income","Sub-Saharan Africa","L","SAA"
"BMU","High income","North America","H","NA"
"BTN","Lower middle income","South Asia","LM","SA"
"BOL","Lower middle income","Latin America & Caribbean","LM","LAC"
"BIH","Upper middle income","Europe & Central Asia","UM","ECA"
"BWA","Upper middle income","Sub-Saharan Africa","UM","SAA"
"BRA","Upper middle income","Latin America & Caribbean","UM","LAC"
"VGB","High income","Latin America & Caribbean","H","LAC"
"BRN","High income","East Asia & Pacific","H","EAP"
"BGR","Upper middle income","Europe & Central Asia","UM","ECA"
"BFA","Low income","Sub-Saharan Africa","L","SAA"
"BDI","Low income","Sub-Saharan Africa","L","SAA"
"CPV","Lower middle income","Sub-Saharan Africa","LM","SAA"
"KHM","Lower middle income","East Asia & Pacific","LM","EAP"
"CMR","Lower middle income","Sub-Saharan Africa","LM","SAA"
"CAN","High income","North America","H","NA"
"CYM","High income","Latin America & Caribbean","H","LAC"
"CAF","Low income","Sub-Saharan Africa","L","SAA"
"TCD","Low income","Sub-Saharan Africa","L","SAA"
"CHL","High income","Latin America & Caribbean","H","LAC"
"CHN","Upper middle income","East Asia & Pacific","UM","EAP"
"COL","Upper middle income","Latin America & Caribbean","UM","LAC"
"COM","Low income","Sub-Saharan Africa","L","SAA"
"COD","Low income","Sub-Saharan Africa","L","SAA"
"COG","Lower middle income","Sub-Saharan Africa","LM","SAA"
"CRI","Upper middle income","Latin America & Caribbean","UM","LAC"
"CIV","Lower middle income","Sub-Saharan Africa","LM","SAA"
"HRV","High income","Europe & Central Asia","H","ECA"
"CUB","Upper middle income","Latin America & Caribbean","UM","LAC"
"CYP","High income","Europe & Central Asia","H","ECA"
"CZE","High income","Europe & Central Asia","H","ECA"
"DNK","High income","Europe & Central Asia","H","ECA"
"DJI","Lower middle income","Middle East & North Africa","LM","MENA"
"DMA","Upper middle income","Latin America & Caribbean","UM","LAC"
"DOM","Upper middle income","Latin America & Caribbean","UM","LAC"
"ECU","Upper middle income","Latin America & Caribbean","UM","LAC"
"EGY","Lower middle income","Middle East & North Africa","LM","MENA"
"SLV","Lower middle income","Latin America & Caribbean","LM","LAC"
"GNQ","Upper middle income","Sub-Saharan Africa","UM","SAA"
"ERI","Low income","Sub-Saharan Africa","L","SAA"
"EST","High income","Europe & Central Asia","H","ECA"
"SWZ","Lower middle income","Sub-Saharan Africa","LM","SAA"
"ETH","Low income","Sub-Saharan Africa","L","SAA"
"FRO","High income","Europe & Central Asia","H","ECA"
"FJI","Upper middle income","East Asia & Pacific","UM","EAP"
"FIN","High income","Europe & Central Asia","H","ECA"
"FRA","High income","Europe & Central Asia","H","ECA"
"PYF","High income","East Asia & Pacific","H","EAP"
"GAB","Upper middle income","Sub-Saharan Africa","UM","SAA"
"GMB","Low income","Sub-Saharan Africa","L","SAA"
"GEO","Lower middle income","Europe & Central Asia","LM","ECA"
"DEU","High income","Europe & Central Asia","H","ECA"
"GHA","Lower middle income","Sub-Saharan Africa","LM","SAA"
"GIB","High income","Europe & Central Asia","H","ECA"
"GRC","High income","Europe & Central Asia","H","ECA"
"GRL","High income","Europe & Central Asia","H","ECA"
"GRD","Upper middle income","Latin America & Caribbean","UM","LAC"
"GUM","High income","East Asia & Pacific","H","EAP"
"GTM","Upper middle income","Latin America & Caribbean","UM","LAC"
"GIN","Low income","Sub-Saharan Africa","L","SAA"
"GNB","Low income","Sub-Saharan Africa","L","SAA"
"GUY","Upper middle income","Latin America & Caribbean","UM","LAC"
"HTI","Low income","Latin America & Caribbean","L","LAC"
"HND","Lower middle income","Latin America & Caribbean","LM","LAC"
"HKG","High income","East Asia & Pacific","H","EAP"
"HUN","High income","Europe & Central Asia","H","ECA"
"ISL","High income","Europe & Central Asia","H","ECA"
"IND","Lower middle income","South Asia","LM","SA"
"IDN","Lower middle income","East Asia & Pacific","LM","EAP"
"IRN","Upper middle income","Middle East & North Africa","UM","MENA"
"IRQ","Upper middle income","Middle East & North Africa","UM","MENA"
"IRL","High income","Europe & Central Asia","H","ECA"
"ISR","High income","Middle East & North Africa","H","MENA"
"ITA","High income","Europe & Central Asia","H","ECA"
"JAM","Upper middle income","Latin America & Caribbean","UM","LAC"
"JPN","High income","East Asia & Pacific","H","EAP"
"JOR","Upper middle income","Middle East & North Africa","UM","MENA"
"KAZ","Upper middle income","Europe & Central Asia","UM","ECA"
"KEN","Lower middle income","Sub-Saharan Africa","LM","SAA"
"KIR","Lower middle income","East Asia & Pacific","LM","EAP"
"PRK","Low income","East Asia & Pacific","L","EAP"
"KOR","High income","East Asia & Pacific","H","EAP"
"KWT","High income","Middle East & North Africa","H","MENA"
"KGZ","Lower middle income","Europe & Central Asia","LM","ECA"
"LAO","Lower middle income","East Asia & Pacific","LM","EAP"
"LVA","High income","Europe & Central Asia","H","ECA"
